"","method","survey_year","island","species","MPA","REF","log_ratio"
"1","BRUV",2019,"Anacapa","den_nontargeted",6.42440535511306,10.9482148789226,-0.231510377216384
"2","BRUV",2019,"Anacapa","den_targeted",18.7101196408273,19.3232148789226,-0.0140028187833611
"3","BRUV",2019,"Anacapa","den_AAFF",0.0315482122559212,0.0315482122559212,0
"4","BRUV",2019,"Anacapa","den_AARG",0.0315482122559212,0.0315482122559212,0
"5","BRUV",2019,"Anacapa","den_ADAV",0.0315482122559212,0.0315482122559212,0
"6","BRUV",2019,"Anacapa","den_AFLA",0.0315482122559212,0.0315482122559212,0
"7","BRUV",2019,"Anacapa","den_AGUA",0.0315482122559212,0.0315482122559212,0
"8","BRUV",2019,"Anacapa","den_AHAR",0.0315482122559212,0.0315482122559212,0
"9","BRUV",2019,"Anacapa","den_AHOL",0.0315482122559212,0.0315482122559212,0
"10","BRUV",2019,"Anacapa","den_AINE",0.0315482122559212,0.0315482122559212,0
"11","BRUV",2019,"Anacapa","den_ANOB",0.0315482122559212,0.0315482122559212,0
"12","BRUV",2019,"Anacapa","den_AOCE",0.0315482122559212,0.0315482122559212,0
"13","BRUV",2019,"Anacapa","den_APFL",0.0315482122559212,0.0315482122559212,0
"14","BRUV",2019,"Anacapa","den_ATHE",0.0315482122559212,0.0315482122559212,0
"15","BRUV",2019,"Anacapa","den_ATHESPP",0.0315482122559212,0.0315482122559212,0
"16","BRUV",2019,"Anacapa","den_AVUL",0.0315482122559212,0.0315482122559212,0
"17","BRUV",2019,"Anacapa","den_BAITBALL",0.0315482122559212,0.0315482122559212,0
"18","BRUV",2019,"Anacapa","den_BATH",0.0315482122559212,0.0315482122559212,0
"19","BRUV",2019,"Anacapa","den_BFRE",0.0315482122559212,0.0315482122559212,0
"20","BRUV",2019,"Anacapa","den_BFREYOY",0.0315482122559212,0.0315482122559212,0
"21","BRUV",2019,"Anacapa","den_BOTH",0.0315482122559212,0.0315482122559212,0
"22","BRUV",2019,"Anacapa","den_BPOL",0.0315482122559212,0.0315482122559212,0
"23","BRUV",2019,"Anacapa","den_BRAY",0.102976783684493,0.0315482122559212,0.513764569117067
"24","BRUV",2019,"Anacapa","den_CAGG",0.0315482122559212,0.0315482122559212,0
"25","BRUV",2019,"Anacapa","den_CGIG",0.0315482122559212,0.0315482122559212,0
"26","BRUV",2019,"Anacapa","den_CITH",0.0315482122559212,0.0315482122559212,0
"27","BRUV",2019,"Anacapa","den_CITHSPP",0.0315482122559212,0.0315482122559212,0
"28","BRUV",2019,"Anacapa","den_CLUP",0.0315482122559212,0.0315482122559212,0
"29","BRUV",2019,"Anacapa","den_COBS",0.0315482122559212,0.0315482122559212,0
"30","BRUV",2019,"Anacapa","den_COTSP",0.0315482122559212,0.0315482122559212,0
"31","BRUV",2019,"Anacapa","den_CPRI",16.9958339265416,12.4482148789226,0.135235402337523
"32","BRUV",2019,"Anacapa","den_CPUN",0.745833926541635,8.90654821225592,-1.0770672884464
"33","BRUV",2019,"Anacapa","den_CPUNYOY",0.0315482122559212,0.0315482122559212,0
"34","BRUV",2019,"Anacapa","den_CSAT",0.0315482122559212,0.0315482122559212,0
"35","BRUV",2019,"Anacapa","den_CSOR",2.10297678368449,2.90654821225592,-0.140543052980143
"36","BRUV",2019,"Anacapa","den_CSTI",0.0315482122559212,0.0315482122559212,0
"37","BRUV",2019,"Anacapa","den_CVEN",0.0315482122559212,0.0315482122559212,0
"38","BRUV",2019,"Anacapa","den_CVIO",0.0315482122559212,0.0315482122559212,0
"39","BRUV",2019,"Anacapa","den_CXAN",0.0315482122559212,0.0315482122559212,0
"40","BRUV",2019,"Anacapa","den_DMAC",0.0315482122559212,0.0315482122559212,0
"41","BRUV",2019,"Anacapa","den_EBIS",0.0315482122559212,0.0315482122559212,0
"42","BRUV",2019,"Anacapa","den_EJAC",0.0315482122559212,0.0315482122559212,0
"43","BRUV",2019,"Anacapa","den_EJOR",0.0315482122559212,0.0315482122559212,0
"44","BRUV",2019,"Anacapa","den_ELAT",0.0315482122559212,0.0315482122559212,0
"45","BRUV",2019,"Anacapa","den_EMBI",0.0315482122559212,0.0315482122559212,0
"46","BRUV",2019,"Anacapa","den_EMOR",0.0315482122559212,0.0315482122559212,0
"47","BRUV",2019,"Anacapa","den_ETAU",0.0315482122559212,0.0315482122559212,0
"48","BRUV",2019,"Anacapa","den_EWAL",0.0315482122559212,0.0315482122559212,0
"49","BRUV",2019,"Anacapa","den_GBY",0.0315482122559212,0.0315482122559212,0
"50","BRUV",2019,"Anacapa","den_GGAL",0.0315482122559212,0.0315482122559212,0
"51","BRUV",2019,"Anacapa","den_GLIN",0.0315482122559212,0.0315482122559212,0
"52","BRUV",2019,"Anacapa","den_GMAE",0.0315482122559212,0.0315482122559212,0
"53","BRUV",2019,"Anacapa","den_GMOR",0.0315482122559212,0.0315482122559212,0
"54","BRUV",2019,"Anacapa","den_GNIG",0.0315482122559212,0.0732148789225879,-0.36562459441746
"55","BRUV",2019,"Anacapa","den_HANA",0.0315482122559212,0.0315482122559212,0
"56","BRUV",2019,"Anacapa","den_HARG",0.0315482122559212,0.0315482122559212,0
"57","BRUV",2019,"Anacapa","den_HAZU",0.0315482122559212,0.0315482122559212,0
"58","BRUV",2019,"Anacapa","den_HCAL",0.0315482122559212,0.0315482122559212,0
"59","BRUV",2019,"Anacapa","den_HCAR",0.0315482122559212,0.0315482122559212,0
"60","BRUV",2019,"Anacapa","den_HDEC",0.0315482122559212,0.0315482122559212,0
"61","BRUV",2019,"Anacapa","den_HELL",0.0315482122559212,0.0315482122559212,0
"62","BRUV",2019,"Anacapa","den_HEXA",0.0315482122559212,0.0315482122559212,0
"63","BRUV",2019,"Anacapa","den_HFRA",0.0315482122559212,0.0315482122559212,0
"64","BRUV",2019,"Anacapa","den_HGRI",0.0315482122559212,0.0315482122559212,0
"65","BRUV",2019,"Anacapa","den_HHEM",0.0315482122559212,0.0315482122559212,0
"66","BRUV",2019,"Anacapa","den_HLAG",0.0315482122559212,0.0315482122559212,0
"67","BRUV",2019,"Anacapa","den_HROS",0.0315482122559212,0.0315482122559212,0
"68","BRUV",2019,"Anacapa","den_HRUB",0.0315482122559212,0.0315482122559212,0
"69","BRUV",2019,"Anacapa","den_HSEM",0.0315482122559212,0.0315482122559212,0
"70","BRUV",2019,"Anacapa","den_HSEMYOY",0.0315482122559212,0.0315482122559212,0
"71","BRUV",2019,"Anacapa","den_HSPI",0.0315482122559212,0.0315482122559212,0
"72","BRUV",2019,"Anacapa","den_HSTE",0.0315482122559212,0.0315482122559212,0
"73","BRUV",2019,"Anacapa","den_HSTO",0.0315482122559212,0.0315482122559212,0
"74","BRUV",2019,"Anacapa","den_KGB",0.0315482122559212,0.0315482122559212,0
"75","BRUV",2019,"Anacapa","den_LARM",0.0315482122559212,0.0315482122559212,0
"76","BRUV",2019,"Anacapa","den_LBIL",0.0315482122559212,0.0315482122559212,0
"77","BRUV",2019,"Anacapa","den_LHIR",0.0315482122559212,0.114881545589255,-0.561275515742308
"78","BRUV",2019,"Anacapa","den_MCAL",0.0315482122559212,0.0732148789225879,-0.36562459441746
"79","BRUV",2019,"Anacapa","den_MMIN",0.0315482122559212,0.0315482122559212,0
"80","BRUV",2019,"Anacapa","den_MMOL",0.0315482122559212,0.0315482122559212,0
"81","BRUV",2019,"Anacapa","den_NBLA",0.0315482122559212,0.0315482122559212,0
"82","BRUV",2019,"Anacapa","den_NCEP",0.0315482122559212,0.0315482122559212,0
"83","BRUV",2019,"Anacapa","den_OCAL",0.0315482122559212,0.948214878922588,-1.47793201168142
"84","BRUV",2019,"Anacapa","den_OCALYOY",0.0315482122559212,0.0315482122559212,0
"85","BRUV",2019,"Anacapa","den_OELO",0.0315482122559212,0.0732148789225879,-0.36562459441746
"86","BRUV",2019,"Anacapa","den_OPIC",0.0315482122559212,0.156548212255921,-0.695673358348656
"87","BRUV",2019,"Anacapa","den_OTSH",0.0315482122559212,0.0315482122559212,0
"88","BRUV",2019,"Anacapa","den_OYB",0.0315482122559212,0.0315482122559212,0
